,geometry,AdmUnitId,infektionenGesamt,todeGesamt,infektionenNeu,todeNeu,infektionen7Tage,inzidenz7Tage,verwaltungseinheit
188,,7334,5163,123,30,0,186,144.2,LK Germersheim
189,,7335,3491,72,33,0,156,147.2,LK Kaiserslautern
190,,7336,1970,64,17,0,73,104.0,LK Kusel
191,,7337,3299,112,48,0,171,154.7,LK Südliche Weinstraße
192,,7338,6097,218,51,0,214,138.4,LK Rhein-Pfalz-Kreis
193,,7339,6753,204,59,0,238,112.6,LK Mainz-Bingen
194,,7340,2411,81,22,0,75,79.1,LK Südwestpfalz
195,,8111,25774,383,311,0,1285,202.1,SK Stuttgart
196,,8115,15160,265,175,2,657,167.3,LK Böblingen
197,,8116,23362,495,192,2,1193,223.0,LK Esslingen
198,,8117,10887,199,98,1,641,248.3,LK Göppingen
199,,8118,23486,474,327,3,1070,196.2,LK Ludwigsburg
200,,9179,9094,131,35,0,274,124.9,LK Fürstenfeldbruck
201,,9180,3328,87,13,1,96,108.6,LK Garmisch-Partenkirchen
202,,9181,3832,64,16,0,81,67.3,LK Landsberg a.Lech
203,,9182,4055,75,28,0,160,160.0,LK Miesbach
204,,9183,6544,140,42,1,287,247.7,LK Mühldorf a.Inn
205,,9184,14401,286,69,0,464,132.4,LK München
206,,9185,3842,71,24,1,124,127.4,LK Neuburg-Schrobenhausen
207,,9186,5267,155,29,0,161,125.6,LK Pfaffenhofen a.d.Ilm
208,,9187,12991,447,39,1,271,103.7,LK Rosenheim
209,,9188,4809,110,15,0,105,76.8,LK Starnberg
210,,9189,10256,205,66,0,387,218.3,LK Traunstein
211,,9190,4507,71,57,0,143,105.6,LK Weilheim-Schongau
212,,9261,3659,104,11,0,106,144.4,SK Landshut
213,,9262,3301,112,8,0,45,85.2,SK Passau
214,,9263,2149,80,16,0,92,192.5,SK Straubing
215,,9271,6327,141,38,2,289,241.9,LK Deggendorf
216,,9272,4583,118,8,0,113,144.2,LK Freyung-Grafenau
217,,9273,5348,104,57,0,229,186.1,LK Kelheim
218,,9274,7277,163,42,0,337,210.8,LK Landshut
219,,9275,12353,354,21,0,271,140.7,LK Passau
220,,9276,5286,160,16,0,90,116.3,LK Regen
221,,9277,6835,165,57,1,345,283.9,LK Rottal-Inn
222,,9278,4942,135,17,0,163,161.2,LK Straubing-Bogen
223,,9279,5139,85,44,0,251,259.6,LK Dingolfing-Landau
224,,9361,1650,20,17,0,60,142.2,SK Amberg
225,,9362,6396,71,53,0,229,149.6,SK Regensburg
226,,9363,2621,73,8,0,33,77.2,SK Weiden i.d.OPf.
227,,9371,4581,150,21,2,96,93.2,LK Amberg-Sulzbach
228,,9372,6672,166,33,0,270,210.9,LK Cham
229,,9373,5764,118,50,0,266,197.7,LK Neumarkt i.d.OPf.
230,,9374,5085,162,11,2,70,74.1,LK Neustadt a.d.Waldnaab
231,,9375,7478,176,58,0,320,164.9,LK Regensburg
232,,9376,7796,150,42,1,156,105.5,LK Schwandorf
233,,9377,5216,263,10,1,53,73.6,LK Tirschenreuth
234,,9461,2856,99,7,0,71,91.8,SK Bamberg
235,,9462,3294,104,11,0,83,111.0,SK Bayreuth
236,,9463,2058,86,18,0,100,243.5,SK Coburg
237,,9464,3719,112,26,0,126,275.0,SK Hof
238,,9471,4974,134,36,1,227,154.3,LK Bamberg
239,,9472,4698,155,11,0,110,106.1,LK Bayreuth
240,,9473,4168,149,42,0,207,238.6,LK Coburg
241,,9474,4451,109,20,2,128,110.2,LK Forchheim
242,,9475,6025,143,21,0,201,212.0,LK Hof
243,,9476,3785,88,22,0,160,239.7,LK Kronach
244,,9477,3893,109,21,0,110,153.7,LK Kulmbach
245,,9478,3213,76,48,0,159,238.1,LK Lichtenfels
246,,9479,4883,192,14,0,94,129.4,LK Wunsiedel i.Fichtelgebirge
247,,9561,1672,44,8,0,62,148.3,SK Ansbach
248,,9562,3662,91,39,0,106,94.2,SK Erlangen
249,,9563,6886,197,50,0,335,260.7,SK Fürth
250,,9564,31376,909,128,14,966,186.4,SK Nürnberg
251,,9565,2037,104,1,0,41,100.0,SK Schwabach
252,,9571,7625,165,55,1,278,150.6,LK Ansbach
253,,9572,4999,123,82,0,180,131.1,LK Erlangen-Höchstadt
254,,9573,4887,200,24,0,149,126.4,LK Fürth
255,,9574,6748,170,31,0,204,119.4,LK Nürnberger Land
256,,9575,4012,98,45,0,215,212.8,LK Neustadt a.d.Aisch-Bad Windsheim
257,,9576,5330,165,32,0,174,137.3,LK Roth
258,,9577,3599,113,17,0,127,134.1,LK Weißenburg-Gunzenhausen
259,,9661,3032,106,28,0,124,174.6,SK Aschaffenburg
260,,9662,2566,74,46,1,124,232.1,SK Schweinfurt
